,Track.Name,Artist.Name,Genre
0,Seсorita,Shawn Mendes,canadian pop
1,China,Anuel AA,reggaeton flow
2,boyfriend (with Social House),Ariana Grande,dance pop
3,Beautiful People (feat. Khalid),Ed Sheeran,pop
4,Goodbyes (Feat. Young Thug),Post Malone,dfw rap
5,I Don't Care (with Justin Bieber),Ed Sheeran,pop
6,Ransom,Lil Tecca,trap music
7,How Do You Sleep?,Sam Smith,pop
8,Old Town Road - Remix,Lil Nas X,country rap
9,bad guy,Billie Eilish,electropop
10,Callaita,Bad Bunny,reggaeton
11,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop
12,Someone You Loved,Lewis Capaldi,pop
13,Otro Trago - Remix,Sech,panamanian pop
14,Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop
15,No Guidance (feat. Drake),Chris Brown,dance pop
16,LA CANCIУN,J Balvin,latin
17,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap
18,Lalala,Y2K,canadian hip hop
19,Truth Hurts,Lizzo,escape room
20,Piece Of Your Heart,MEDUZA,pop house
21,Panini,Lil Nas X,country rap
22,No Me Conoce - Remix,Jhay Cortez,reggaeton flow
23,Soltera - Remix,Lunay,latin
24,bad guy (with Justin Bieber),Billie Eilish,electropop
25,If I Can't Have You,Shawn Mendes,canadian pop
26,Dance Monkey,Tones and I,australian pop
27,It's You,Ali Gatie,canadian hip hop
28,Con Calma,Daddy Yankee,latin
29,QUE PRETENDES,J Balvin,latin
30,Takeaway,The Chainsmokers,edm
31,7 rings,Ariana Grande,dance pop
32,0.958333333333333,Maluma,reggaeton
33,The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop
34,Never Really Over,Katy Perry,dance pop
35,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room
36,Otro Trago,Sech,panamanian pop
37,Antisocial (with Travis Scott),Ed Sheeran,pop
38,Sucker,Jonas Brothers,boy band
39,"fuck i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,dance pop
40,Higher Love,Kygo,edm
41,You Need To Calm Down,Taylor Swift,dance pop
42,Shallow,Lady Gaga,dance pop
43,Talk,Khalid,pop
44,Con Altura,ROSALНA,r&b en espanol
45,One Thing Right,Marshmello,brostep
46,Te Robarй,Nicky Jam,latin
47,Happier,Marshmello,brostep
48,Call You Mine,The Chainsmokers,edm
49,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop
